company_name,brand_name,website_url,industry,sub_industry,company_description,founded_year,headquarters_city,headquarters_state,headquarters_country,operating_regions,company_size_range,annual_revenue_range,ownership_type,impact_focus_areas,primary_social_mission,sdg_alignment,b_corp_certified,fair_trade_certified,carbon_neutral,net_zero_target_year,renewable_energy_percent,supply_chain_transparency,ethical_labor_practices,impact_report_url,impact_metrics_summary,third_party_ratings
TOMS Shoes,TOMS,https://www.toms.com,Apparel,Footwear,"Shoe company known for its 'One for One' model, now donating 1/3 of profits for grassroots good.",2006,Los Angeles,CA,USA,Global,200–1000,$100M–$500M,Private,"Mental Health, Access to Opportunity",Use business to improve lives.,"SDG3, SDG8",TRUE,FALSE,FALSE,2030,40,High,TRUE,https://www.toms.com/impact-report,1/3 of profits donated; over 100M lives impacted.,B Corp
Bombas,Bombas,https://www.bombas.com,Apparel,Hosiery & Basics,DTC apparel brand that donates a specially designed item for every item purchased.,2013,New York,NY,USA,North America,200–1000,$100M–$500M,Private,Homelessness,Support those experiencing homelessness.,"SDG1, SDG10",TRUE,FALSE,FALSE,2030,30,Medium,TRUE,https://www.bombas.com/impact,100M+ items donated to the homeless community.,B Corp
Cotopaxi,Cotopaxi,https://www.cotopaxi.com,Apparel,Outdoor Gear,Outdoor gear brand focused on sustainable manufacturing and fighting global poverty.,2014,Salt Lake City,UT,USA,Global,200–1000,$100M–$500M,Private,"Poverty Alleviation, Climate",Gear for Good to fight global poverty.,"SDG1, SDG12, SDG13",TRUE,TRUE,TRUE,2025,100,High,TRUE,https://www.cotopaxi.com/pages/impact-report,1% of revenue to poverty alleviation; 94% sustainable materials.,B Corp
Dr. Bronner's Magic Soaps,Dr. Bronner's,https://www.drbronner.com,Consumer Goods,Personal Care,Family-owned maker of organic and fair trade soaps and personal care products.,1948,Vista,CA,USA,Global,200–1000,$100M–$500M,Private,"Regenerative Organic, Fair Pay, Drug Policy",Constructive capitalism to share wealth and protect the planet.,"SDG12, SDG13, SDG15",FALSE,TRUE,TRUE,2025,100,High,TRUE,https://www.drbronner.com/pages/all-one-reports,5:1 salary cap; 100% fair trade and organic oils.,"Fair Trade, Regenerative Organic Certified"
Ecosia GmbH,Ecosia,https://www.ecosia.org,Technology,Search Engine,Search engine that uses its profits to plant trees and fund climate action.,2009,Berlin,Berlin,Germany,Global,50–200,$10M–$50M,Private / Steward-owned,"Reforestation, Climate Action",Plant trees and reverse climate change through browsing.,"SDG13, SDG15",TRUE,FALSE,TRUE,2020,200,High,TRUE,https://blog.ecosia.org/tag/financial-reports/,200M+ trees planted; 100% of profits to the planet.,B Corp
Tentree International,Tentree,https://www.tentree.com,Apparel,Sustainable Clothing,Sustainable lifestyle apparel brand that plants ten trees for every item purchased.,2012,Vancouver,BC,Canada,Global,50–200,$10M–$50M,Private,"Reforestation, Circularity",Plant 1 billion trees by 2030.,"SDG13, SDG15",TRUE,FALSE,TRUE,2030,50,High,TRUE,https://www.tentree.com/pages/impact-report,100M+ trees planted; verified planting sites.,B Corp
Tony's Chocolonely,Tony's Chocolonely,https://www.tonyschocolonely.com,Food,Chocolate,Dutch confectionery company focused on ending modern slavery in the cocoa industry.,2005,Amsterdam,Noord-Holland,Netherlands,Global,200–1000,$100M–$500M,Private,"Human Rights, Supply Chain Ethics",100% slave-free chocolate the norm in the industry.,"SDG1, SDG8, SDG12",TRUE,TRUE,TRUE,2030,100,High,TRUE,https://tonyschocolonely.com/us/en/annual-fair-reports,100% traceable beans; higher prices paid to farmers.,"B Corp, Fairtrade"
Method Products,Method,https://www.methodhome.com,Consumer Goods,Household Products,"Cleaning products brand focused on style, sustainability, and non-toxic formulations.",2001,San Francisco,CA,USA,Global,200–1000,$100M–$500M,Subsidiary (SC Johnson),"Sustainability, Non-toxic","Make the world a cleaner, greener, more colorful place.","SDG12, SDG13",TRUE,FALSE,TRUE,2030,100,High,TRUE,https://www.methodhome.com/about-us/sustainability/,Cradle to Cradle certified products; wind-powered factory.,"B Corp, Cradle to Cradle"
Who Gives A Crap,Who Gives A Crap,https://www.whogivesacrap.org,Consumer Goods,Personal Care,Eco-friendly toilet paper company that donates 50% of profits to build toilets.,2012,Melbourne,VIC,Australia,Global,200–1000,$50M–$100M,Private,"Sanitation, Deforestation",Provide clean water and toilets for everyone.,"SDG6, SDG12, SDG15",TRUE,FALSE,TRUE,2030,90,High,TRUE,https://whogivesacrap.org/pages/impact-report,50% of profits donated; over $10M raised to date.,B Corp
Fairphone B.V.,Fairphone,https://www.fairphone.com,Technology,Electronics,Social enterprise that develops modular smartphones to minimize environmental impact.,2013,Amsterdam,Noord-Holland,Netherlands,Europe,50–200,$50M–$100M,Private,"Circular Electronics, Fair Materials",Open up the supply chain and create a fairer phone.,"SDG8, SDG12, SDG13",TRUE,TRUE,TRUE,2045,100,High,TRUE,https://www.fairphone.com/en/impact-report/,Modular design for repairability; 100% fair cobalt and gold.,B Corp
